"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"1","A/Wisconsin/67/2005","EPI_ISL_115646",2005.001,"Wisconsin","","GISAID"
"2","A/Brisbane/10/2007","EPI_ISL_110723",2007.999,"Brisbane","","GISAID"
"3","A/Xinjiang-Tianshan/1411/2012","EPI_ISL_133063",2012.25,"Xinjiang-Tianshan","","GISAID"
"4","A/Perth/16/2009","EPI_ISL_176456",2009.264,"Perth","","GISAID"
"5","A/Thailand/VIROAF6CS/2012","EPI_ISL_182837",2012.701,"Thailand","","GISAID"
"6","A/Vladivostok/10/2011","EPI_ISL_125868",2011.834,"Vladivostok","","GISAID"
"7","A/Hunan-Yanfeng/165/2011","EPI_ISL_93781",2011.284,"Hunan-Yanfeng","","GISAID"
"8","A/Novosibirsk/1927/2011","EPI_ISL_99180",2011.303,"Novosibirsk","","GISAID"
"9","A/Brisbane/159/2011","EPI_ISL_13871171",2011.36,"Brisbane","","GISAID"
"10","A/Kenya/152/2011","EPI_ISL_106257",2011.662,"Kenya","","GISAID"
"11","A/Tanzania/952/2011","EPI_ISL_99075",2011.363,"Tanzania","","GISAID"
"12","A/SantoAntoniodaPatrulha/LACENRS-60/2011","EPI_ISL_263141",2011.336,"SantoAntoniodaPatrulha","","GISAID"
"13","A/Johannesburg/153/2011","EPI_ISL_96035",2011.508,"Johannesburg","","GISAID"
"14","A/Kenya/231/2012","EPI_ISL_139136",2012.589,"Kenya","","GISAID"
"15","A/Kenya/225/2012","EPI_ISL_131221",2012.234,"Kenya","","GISAID"
"16","A/Wakayama-C/25/2011","EPI_ISL_96822",2011.295,"Wakayama-C","","GISAID"
"17","A/Guangdong/174/2011","EPI_ISL_165433",2011.623,"Guangdong","","GISAID"
"18","A/Umea/3/2011","EPI_ISL_90436",2011.39,"Umea","","GISAID"
"19","A/Madagascar/3299/2011","EPI_ISL_99881",2011.432,"Madagascar","","GISAID"
"20","A/Madagascar/2269/2011","EPI_ISL_99880",2011.295,"Madagascar","","GISAID"
"21","A/Peru/PER395/2011","EPI_ISL_152492",2011.812,"Peru","","GISAID"
"22","A/Peru/PER399/2012","EPI_ISL_152496",2012.255,"Peru","","GISAID"
"23","A/Wakayama/154/2011","EPI_ISL_96821",2011.448,"Wakayama","","GISAID"
"24","A/Wisconsin/21/2011","EPI_ISL_93488",2011.336,"Wisconsin","","GISAID"
"25","A/Yokohama/144/2011","EPI_ISL_94357",2011.39,"Yokohama","","GISAID"
"26","A/Peru/PER397/2011","EPI_ISL_152494",2011.692,"Peru","","GISAID"
"27","A/Roraima/121143/2012","EPI_ISL_143304",2012.75,"Roraima","","GISAID"
"28","A/RioGrandedoNorte/121985/2013","EPI_ISL_143309",2013.045,"RioGrandedoNorte","","GISAID"
"29","A/Wellington/5/2012","EPI_ISL_128656",2012.447,"Wellington","","GISAID"
"30","A/Dnipro/194/2012","EPI_ISL_121904",2012.225,"Dnipro","","GISAID"
"31","A/Uruguaiana/LACENRS-368/2011","EPI_ISL_263241",2011.467,"Uruguaiana","","GISAID"
"32","A/SantaFe/277947/2011","EPI_ISL_132654",2011.505,"SantaFe","","GISAID"
"33","A/Canela/LACENRS-102/2011","EPI_ISL_263273",2011.382,"Canela","","GISAID"
"34","A/Soledade/LACENRS-820/2011","EPI_ISL_263143",2011.519,"Soledade","","GISAID"
"35","A/FredericoWestphalen/LACENRS-2130/2012","EPI_ISL_263156",2012.567,"FredericoWestphalen","","GISAID"
"36","A/Slovenia/9/2012","EPI_ISL_103263",2012.007,"Slovenia","","GISAID"
"37","A/Roraima/121120/2012","EPI_ISL_143303",2012.638,"Roraima","","GISAID"
"38","A/Roraima/121107/2012","EPI_ISL_143302",2012.731,"Roraima","","GISAID"
"39","A/FredericoWestphalen/LACENRS-204/2012","EPI_ISL_263304",2012.449,"FredericoWestphalen","","GISAID"
"40","A/Norway/1443/2012","EPI_ISL_132040",2012.433,"Norway","","GISAID"
"41","A/Para/121549/2012","EPI_ISL_143306",2012.933,"Para","","GISAID"
"42","A/Wisconsin/25/2012","EPI_ISL_128999",2012.624,"Wisconsin","","GISAID"
"43","A/Israel/10/2012","EPI_ISL_140344",2012.829,"Israel","","GISAID"
"44","A/Austria/710638/2012","EPI_ISL_134158",2012.944,"Austria","","GISAID"
"45","A/PaysDeLoire/2149/2011","EPI_ISL_106651",2011.988,"PaysDeLoire","","GISAID"
"46","A/Ukraine/5508/2012","EPI_ISL_136407",2012.275,"Ukraine","","GISAID"
"47","A/Iasi/93306/2012","EPI_ISL_118774",2012.072,"Iasi","","GISAID"
"48","A/BuenosAires/R173/2011","EPI_ISL_132634",2011.489,"BuenosAires","","GISAID"
"49","A/PuertoMontt/12477/2012","EPI_ISL_119880",2012.127,"PuertoMontt","","GISAID"
"50","A/Tucuman/273/2011","EPI_ISL_132628",2011.568,"Tucuman","","GISAID"
"51","A/Victoria/920/2012","EPI_ISL_134478",2012.764,"Victoria","","GISAID"
"52","A/Wyoming/3/2012","EPI_ISL_108351",2012.1,"Wyoming","","GISAID"
"53","A/Wyoming/1/2012","EPI_ISL_105763",2012.026,"Wyoming","","GISAID"
"54","A/Wyoming/7/2012","EPI_ISL_119888",2012.234,"Wyoming","","GISAID"
"55","A/Wyoming/11/2012","EPI_ISL_122128",2012.357,"Wyoming","","GISAID"
"56","A/Santiago/18456/2011","EPI_ISL_98644",2011.642,"Santiago","","GISAID"
"57","A/Wisconsin/22/2011","EPI_ISL_93486",2011.286,"Wisconsin","","GISAID"
"58","A/Reims/39/2011","EPI_ISL_106771",2011.999,"Reims","","GISAID"
"59","A/Estonia/66837/2012","EPI_ISL_121921",2012.239,"Estonia","","GISAID"
"60","A/Victoria/892/2011","EPI_ISL_106867",2011.842,"Victoria","","GISAID"
"61","A/Victoria/893/2011","EPI_ISL_118588",2011.933,"Victoria","","GISAID"
"62","A/Victoria/714/2011","EPI_ISL_106862",2011.815,"Victoria","","GISAID"
"63","A/Wisconsin/27/2011","EPI_ISL_99796",2011.845,"Wisconsin","","GISAID"
"64","A/Victoria/865/2011","EPI_ISL_99764",2011.719,"Victoria","","GISAID"
"65","A/Yopougon/GR1336/2011","EPI_ISL_103279",2011.889,"Yopougon","","GISAID"
"66","A/Trieste/63/2011","EPI_ISL_104116",2011.993,"Trieste","","GISAID"
