"","Isolate","Accession_number","Collection_time","Country","Continent","Clade","Source"
"1","ERR047884","ERR047884",2009,"Samara, Russia","Europe","EAI","Casali et al. (2014)"
"2","ERR234635","ERR234635",2009,"Samara, Russia","Europe","EAI","Casali et al. (2014)"
"3","ERR158603","ERR158603",2009,"Samara, Russia","Europe","EAI","Casali et al. (2014)"
"4","ERR117453","ERR117453",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"5","ERR229922","ERR229922",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"6","ERR228017","ERR228017",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"7","ERR133889","ERR133889",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"8","ERR067673","ERR067673",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"9","ERR229966","ERR229966",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"10","ERR229923","ERR229923",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"11","ERR234623","ERR234623",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"12","ERR108502","ERR108502",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"13","ERR067718","ERR067718",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"14","ERR229962","ERR229962",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"15","ERR234593","ERR234593",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"16","ERR108491","ERR108491",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"17","ERR158597","ERR158597",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"18","ERR067649","ERR067649",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"19","ERR229916","ERR229916",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"20","ERR144543","ERR144543",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"21","ERR144600","ERR144600",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"22","ERR067587","ERR067587",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"23","ERR137269","ERR137269",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"24","ERR234576","ERR234576",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"25","ERR227978","ERR227978",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"26","ERR228064","ERR228064",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"27","ERR229960","ERR229960",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"28","ERR133853","ERR133853",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"29","ERR158611","ERR158611",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"30","ERR067611","ERR067611",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"31","ERR137211","ERR137211",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"32","ERR117470","ERR117470",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"33","ERR144593","ERR144593",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"34","ERR144549","ERR144549",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"35","ERR067578","ERR067578",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"36","ERR067583","ERR067583",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"37","ERR228020","ERR228020",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"38","ERR229994","ERR229994",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"39","ERR067656","ERR067656",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"40","ERR108484","ERR108484",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"41","ERR067654","ERR067654",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"42","ERR133848","ERR133848",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"43","ERR158576","ERR158576",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"44","ERR158585","ERR158585",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"45","ERR067758","ERR067758",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"46","ERR067762","ERR067762",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"47","ERR067721","ERR067721",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
