"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"1","FR3883","ERR2102110","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"2","FR3894","ERR2102111","2008","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"3","FR3903","ERR2102112","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"4","FR3916","ERR2102113","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"5","FR3917","ERR2102114","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"6","FR3919","ERR2102115","2008","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"7","FR3927","ERR2102116","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"8","FR3928","ERR2102117","2008","France","Europe","Others","Bouchez et. al. (2018)"
"9","FR3940","ERR2102118","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"10","FR3948","ERR2102119","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"11","FR3951","ERR2102120","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"12","FR3955","ERR2102121","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"13","FR3959","ERR2102122","2008","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"14","FR3977","ERR2102123","2008","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"15","FR4208","ERR2102124","2009","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"16","FR4229","ERR2102125","2009","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"17","FR4929","ERR2102126","2009","France","Europe","Others","Bouchez et. al. (2018)"
"18","FR4930","ERR2102127","2009","France","Europe","Others","Bouchez et. al. (2018)"
"19","FR4991","ERR2102128","2009","France","Europe","Others","Bouchez et. al. (2018)"
"20","FR5009","ERR2102129","2011","France","Europe","Others","Bouchez et. al. (2018)"
"21","FR5029","ERR2102130","2011","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"22","FR5030","ERR2102131","2011","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"23","FR5438","ERR2102132","2013","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"24","FR5439","ERR2102133","2013","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"25","FR5782","ERR2102134","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"26","FR5791","ERR2102135","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"27","FR5793","ERR2102136","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"28","FR5795","ERR2102137","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"29","FR5809","ERR2102138","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"30","FR5810","ERR2102139","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"31","FR5811","ERR2102140","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"32","FR5841","ERR2102141","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"33","FR5859","ERR2102142","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"34","FR5860","ERR2102143","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"35","FR5869","ERR2102144","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"36","FR5899","ERR2102145","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"37","FR5905","ERR2102146","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"38","FR5910","ERR2102147","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"39","FR5920","ERR2102148","2014","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"40","FR5940","ERR2102149","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"41","FR5942","ERR2102150","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"42","FR5943","ERR2102151","2014","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"43","FR5980","ERR2102152","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"44","FR5984","ERR2102153","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"45","FR5985","ERR2102154","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"46","FR5990","ERR2102155","2015","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"47","FR5992","ERR2102156","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"48","FR6005","ERR2102157","2015","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"49","FR6006","ERR2102158","2015","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"50","FR6013","ERR2102159","2015","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"51","FR6022","ERR2102160","2015","France","Europe","ptxP1/fim3-1","Bouchez et. al. (2018)"
"52","FR6029","ERR2102161","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
