"","Isolate","Accession_number","Collection_time","Country","Nextstrain_clade","Source"
"1","hCoV-19/Wuhan/Hu-1/2019","EPI_ISL_402125",2019.985,"Wuhan","19A","GISAID"
"2","hCoV-19/Wuhan/WIV05/2019","EPI_ISL_402128",2019.996,"Wuhan","19A","GISAID"
"3","hCoV-19/Wuhan/IPBCAMS-WH-02/2019","EPI_ISL_403931",2019.996,"Wuhan","19A","GISAID"
"4","hCoV-19/Australia/SA0305/2020","EPI_ISL_468037",2020.081,"Australia","19A","GISAID"
"5","hCoV-19/Nepal/61/2020","EPI_ISL_410301",2020.034,"Nepal","19A","GISAID"
"6","hCoV-19/Netherlands/ZuidHolland_94/2020","EPI_ISL_422630",2020.247,"Netherlands","19A","GISAID"
"7","hCoV-19/HongKong/HKU-200723-051/2020","EPI_ISL_497818",2020.25,"HongKong","19A","GISAID"
"8","hCoV-19/USA/WI-CDC-03041142-001/2020","EPI_ISL_408670",2020.083,"USA","19A","GISAID"
"9","hCoV-19/Curacao/CW-RIVM-10308/2020","EPI_ISL_636492",2020.19,"Curacao","19A","GISAID"
"10","hCoV-19/Australia/NSW10/2020","EPI_ISL_413596",2020.16,"Australia","19A","GISAID"
"11","hCoV-19/Finland/1/2020","EPI_ISL_407079",2020.078,"Finland","19A","GISAID"
"12","hCoV-19/Italy/CAM-CRGS-35/2020","EPI_ISL_918466",2020.214,"Italy","19A","GISAID"
"13","hCoV-19/Thailand/63015565__2019/2020","EPI_ISL_12717953",2020.501,"Thailand","19A","GISAID"
"14","hCoV-19/Indonesia/JI-ITD-4522NT/2020","EPI_ISL_17323222",2020.302,"Indonesia","19A","GISAID"
"15","hCoV-19/Wuhan/HB-WH5-237/2020","EPI_ISL_454978",2020.201,"Wuhan","19A","GISAID"
"16","hCoV-19/Kazakhstan/122252/2020","EPI_ISL_1341149",2020.165,"Kazakhstan","19A","GISAID"
"17","hCoV-19/Germany/BAV-PL-virotum_RTWDF/2020","EPI_ISL_1373298",2020.908,"Germany","19A","GISAID"
"18","hCoV-19/Singapore/150/2020","EPI_ISL_443242",2020.212,"Singapore","19A","GISAID"
"19","hCoV-19/Mexico/JAL-InDRE-11/2020","EPI_ISL_455435",2020.217,"Mexico","19A","GISAID"
"20","hCoV-19/HongKong/HKPU-00613/2020","EPI_ISL_1289444",2020.242,"HongKong","19A","GISAID"
"21","hCoV-19/Indonesia/JI-ITD-1180NT/2020","EPI_ISL_17323186",2020.239,"Indonesia","19A","GISAID"
"22","hCoV-19/Australia/WA11/2020","EPI_ISL_420456",2020.143,"Australia","19A","GISAID"
"23","hCoV-19/Australia/SA0097/2020","EPI_ISL_468039",2020.143,"Australia","19A","GISAID"
"24","hCoV-19/Italy/LAZ-INMI1-cs/2020","EPI_ISL_410546",2020.078,"Italy","19A","GISAID"
"25","hCoV-19/USA/OR-PROV-123/2020","EPI_ISL_482387",2020.321,"USA","19A","GISAID"
"26","hCoV-19/Jamaica/un-CDC-3088778-001/2020","EPI_ISL_450796",2020.206,"Jamaica","19A","GISAID"
"27","hCoV-19/USA/NY-AECOM_075/2020","EPI_ISL_826638",2020.266,"USA","19A","GISAID"
"28","hCoV-19/SriLanka/COV486/2020","EPI_ISL_428673",2020.247,"SriLanka","19A","GISAID"
"29","hCoV-19/Uganda/UG038/2020","EPI_ISL_737958",2020.234,"Uganda","19A","GISAID"
"30","hCoV-19/Philippines/PH-RITM-0065/2020","EPI_ISL_3105872",2020.398,"Philippines","19A","GISAID"
"31","hCoV-19/India/GJ-GBRC24a/2020","EPI_ISL_437453",2020.318,"India","19A","GISAID"
"32","hCoV-19/Philippines/PH-RITM-0057/2020","EPI_ISL_3105866",2020.214,"Philippines","19A","GISAID"
"33","hCoV-19/Oman/RESP-20-2850/2020","EPI_ISL_457977",2020.212,"Oman","19A","GISAID"
"34","hCoV-19/Singapore/550/2020","EPI_ISL_482697",2020.378,"Singapore","19A","GISAID"
"35","hCoV-19/Malaysia/MGI-MAEPS54/2020","EPI_ISL_528743",2020.425,"Malaysia","19A","GISAID"
"36","hCoV-19/Timor-Leste/TL14/2020","EPI_ISL_456601",2020.28,"Timor-Leste","19A","GISAID"
"37","hCoV-19/Singapore/778/2020","EPI_ISL_509388",2020.529,"Singapore","19A","GISAID"
"38","hCoV-19/Singapore/825/2020","EPI_ISL_516825",2020.611,"Singapore","19A","GISAID"
"39","hCoV-19/Singapore/583/2020","EPI_ISL_483606",2020.381,"Singapore","19A","GISAID"
"40","hCoV-19/Singapore/58/2020","EPI_ISL_428837",2020.269,"Singapore","19A","GISAID"
"41","hCoV-19/Tunisia/7899/2020","EPI_ISL_763067",2020.264,"Tunisia","19A","GISAID"
"42","hCoV-19/Thailand/CU-SI2011588-NT/2020","EPI_ISL_937535",2020.258,"Thailand","19A","GISAID"
"43","hCoV-19/Iran/2949/2020","EPI_ISL_15754886",2020.157,"Iran","19A","GISAID"
"44","hCoV-19/Canada/MB-NML-767/2020","EPI_ISL_1257986",2020.212,"Canada","19A","GISAID"
"45","hCoV-19/Bahrain/BAH-05/2020","EPI_ISL_483546",2020.204,"Bahrain","19A","GISAID"
"46","hCoV-19/Bahrain/BAH-17/2020","EPI_ISL_483558",2020.269,"Bahrain","19A","GISAID"
"47","hCoV-19/Iran/4219/2020","EPI_ISL_15754961",2020.157,"Iran","19A","GISAID"
"48","hCoV-19/Taiwan/TSGH-26/2020","EPI_ISL_447252",2020.152,"Taiwan","19A","GISAID"
"49","hCoV-19/Oman/RESP-20-837/2020","EPI_ISL_457704",2020.149,"Oman","19A","GISAID"
"50","hCoV-19/Kuwait/KU12/2020","EPI_ISL_416458",2020.168,"Kuwait","19A","GISAID"
"51","hCoV-19/Lebanon/S5_762/2020","EPI_ISL_450512",2020.157,"Lebanon","19A","GISAID"
"52","hCoV-19/SriLanka/CDR503/2020","EPI_ISL_525479",2020.247,"SriLanka","19A","GISAID"
"53","hCoV-19/Kazakhstan/26548/2020","EPI_ISL_454512",2020.318,"Kazakhstan","19A","GISAID"
"54","hCoV-19/Iran/B15235/2020","EPI_ISL_15755052",2020.34,"Iran","19A","GISAID"
"55","hCoV-19/Oman/RESP-20-797/2020","EPI_ISL_457701",2020.146,"Oman","19A","GISAID"
"56","hCoV-19/Vietnam/PIHCM-869/2020","EPI_ISL_17433661",2020.469,"Vietnam","19A","GISAID"
"57","hCoV-19/Mexico/ZAC-InDRE-IBT-49/2020","EPI_ISL_1301519",2020.329,"Mexico","19B","GISAID"
"58","hCoV-19/UnitedArabEmirates/skmc-920568379/2020","EPI_ISL_582608",2020.081,"UnitedArabEmirates","19B","GISAID"
"59","hCoV-19/SouthKorea/KCDC03/2020","EPI_ISL_407193",2020.067,"SouthKorea","19B","GISAID"
"60","hCoV-19/SouthKorea/KCDC07/2020","EPI_ISL_412871",2020.083,"SouthKorea","19B","GISAID"
"61","hCoV-19/Thailand/SI202620-NT/2020","EPI_ISL_437615",2020.143,"Thailand","19B","GISAID"
"62","hCoV-19/Thailand/Bangkok-0083/2020","EPI_ISL_447024",2020.253,"Thailand","19B","GISAID"
"63","hCoV-19/Thailand/Bangkok-CONI-0228/2020","EPI_ISL_512870",2020.231,"Thailand","19B","GISAID"
"64","hCoV-19/Australia/VIC46/2020","EPI_ISL_419816",2020.193,"Australia","19B","GISAID"
"65","hCoV-19/USA/WA6-UW3/2020","EPI_ISL_413457",2020.163,"USA","19B","GISAID"
